,team,total_attendance,stadium_capacity
0,Arizona Cardinals,1018127,63400
1,Atlanta Falcons,1119143,71000
2,Baltimore Ravens,1053383,71008
3,Buffalo Bills,1072899,73967
4,Carolina Panthers,1102756,73778
5,Chicago Bears,1045568,61500
6,Cincinnati Bengals,911289,65515
7,Cleveland Browns,1045441,68000
8,Dallas Cowboys,1303393,80000
9,Denver Broncos,1092324,76125
10,Detroit Lions,1054328,65000
11,Green Bay Packers,1163842,80735
12,Houston Texans,1112480,71500
13,Indianapolis Colts,1006361,63000
14,Jacksonville Jaguars,1109899,67264
15,Kansas City Chiefs,1107376,76416
16,Los Angeles Chargers,803556,30000
17,Los Angeles Rams,1102409,77500
18,Miami Dolphins,1062180,65326
19,Minnesota Vikings,1090834,66200
20,New England Patriots,1068530,68756
21,New Orleans Saints,1147700,76468
22,New York Giants,1183132,82500
23,New York Jets,1130823,53250
24,Oakland Raiders,955258,69176
25,Philadelphia Eagles,1149737,65500
26,Pittsburgh Steelers,1040509,68500
27,San Francisco 49ers,1052454,67000
28,Seattle Seahawks,1114327,65890
29,Tampa Bay Buccaneers,999843,69143
30,Tennessee Titans,1092094,79000
31,Washington Redskins,1043167,
32,,17177581,
